排名,电影名,网址,演员,发布日期及地点
85,剪刀手爱德华,https://www.maoyan.com/films/4883,"约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",1990-12-06(美国)
,,,,
86,入殓师,https://www.maoyan.com/films/513,"本木雅弘,广末凉子,山崎努",2021/10/29
,,,,
87,素媛,https://www.maoyan.com/films/30932,"李来,薛景求,严智苑",2013-10-02(韩国)
,,,,
88,断背山,https://www.maoyan.com/films/78538,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",2005-09-02(意大利)
,,,,
89,饮食男女,https://www.maoyan.com/films/14652,"郎雄,吴倩莲,杨贵媚",1994-08-03(美国)
,,,,
90,十二怒汉,https://www.maoyan.com/films/1233,"亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13(美国)
,,,,
91,蝙蝠侠：黑暗骑士,https://www.maoyan.com/films/790,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-14(阿根廷)
,,,,
92,两杆大烟枪,https://www.maoyan.com/films/790,"杰森·弗莱明,德克斯特·弗莱彻,杰森·斯坦森",1998-08-28(英国)
,,,,
93,大鱼,https://www.maoyan.com/films/2204,"伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",2003-12-04(美国)
,,,,
94,真爱至上,https://www.maoyan.com/films/1202,"休·格兰特,比尔·奈伊,连姆·尼森",2003-11-21(英国)
,,,,
95,傲慢与偏见,https://www.maoyan.com/films/1379,"马修·麦克费登,吉娜·马隆,妲露拉·莱莉",2008/2/10
,,,,
96,波西米亚狂想曲,https://www.maoyan.com/films/14583,"拉米·萨义德·马雷克,本·哈迪,约瑟夫•梅泽罗",2019/3/22
,,,,
97,致命魔术,https://www.maoyan.com/films/1167831,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-17(意大利)
,,,,
98,模仿游戏,https://www.maoyan.com/films/20131,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",2015/7/21
,,,,
99,奥本海默,https://www.maoyan.com/films/78646,"基里安·墨菲,艾米莉·布朗特,马特·达蒙",2023/8/30
,,,,
100,禁闭岛,https://www.maoyan.com/films/1443924,"莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利",2010-02-13(德国)
