AthleteCode,PrintName,FamilyName,GivenName,GenderCode,OrganisationCode,DisciplineCode,EventEntry,event_count,Id_x,CHI_Description_x,Id_y,CHI_Description_y
SWMMS0001405,谭博,谭博,,1,BEJ,SWM,"[{'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",4,SWM,游泳,BEJ,北京
SWMMS0001406,汤嘉为,汤嘉为,,1,BEJ,SWM,[{'EventCode': 'SWMM50MFR-------------------------'}],1,SWM,游泳,BEJ,北京
SWMMS0001408,王华锋,王华锋,,1,BEJ,SWM,"[{'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",4,SWM,游泳,BEJ,北京
SWMMS0001418,张帅,张帅,,1,BEJ,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}]",3,SWM,游泳,BEJ,北京
SWMMS0001421,张宇鹏,张宇鹏,,1,BEJ,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}]",3,SWM,游泳,BEJ,北京
SWMMS0001427,周彧,周彧,,1,BEJ,SWM,"[{'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}]",2,SWM,游泳,BEJ,北京
SWMMS0003393,安家葆,安家葆,,1,TIJ,SWM,"[{'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",4,SWM,游泳,TIJ,天津
SWMMS0003396,陈一宝,陈一宝,,1,TIJ,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,TIJ,天津
SWMMS0003397,董昊熹,董昊熹,,1,TIJ,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",6,SWM,游泳,TIJ,天津
SWMMS0003399,郎溪傲,郎溪傲,,1,TIJ,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMM200MFR------------------------'}]",6,SWM,游泳,TIJ,天津
SWMMS0003401,李仁达,李仁达,,1,TIJ,SWM,"[{'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",2,SWM,游泳,TIJ,天津
SWMMS0003409,穆云鹏,穆云鹏,,1,TIJ,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,TIJ,天津
SWMMS0003410,乔仲羿,乔仲羿,,1,TIJ,SWM,"[{'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",3,SWM,游泳,TIJ,天津
SWMMS0003411,宋嘉乐,宋嘉乐,,1,TIJ,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",3,SWM,游泳,TIJ,天津
SWMMS0003413,唐浩洋,唐浩洋,,1,TIJ,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",5,SWM,游泳,TIJ,天津
SWMMS0003414,王长浩,王长浩,,1,TIJ,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",4,SWM,游泳,TIJ,天津
SWMMS0003415,王浩瀚,王浩瀚,,1,TIJ,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",6,SWM,游泳,TIJ,天津
SWMMS0003418,王云泽,王云泽,,1,TIJ,SWM,"[{'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",3,SWM,游泳,TIJ,天津
SWMMS0003421,武广帅,武广帅,,1,TIJ,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}]",2,SWM,游泳,TIJ,天津
SWMMS0003422,杨金潼,杨金潼,,1,TIJ,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",3,SWM,游泳,TIJ,天津
SWMMS0003425,张博昭,张博昭,,1,TIJ,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}]",6,SWM,游泳,TIJ,天津
SWMMS0010609,何宇博,何宇博,,1,HEB,SWM,"[{'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}]",6,SWM,游泳,HEB,河北
SWMMS0010610,井睿,井睿,,1,HEB,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",5,SWM,游泳,HEB,河北
SWMMS0010624,王冠斌,王冠斌,,1,HEB,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",4,SWM,游泳,HEB,河北
SWMMS0010627,张程硕,张程硕,,1,HEB,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",7,SWM,游泳,HEB,河北
SWMMS0010631,赵祉皓,赵祉皓,,1,HEB,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",6,SWM,游泳,HEB,河北
SWMMS0017802,宋一飞,宋一飞,,1,SHX,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,SHX,山西
SWMMS0017809,王鹏硕,王鹏硕,,1,SHX,SWM,"[{'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",2,SWM,游泳,SHX,山西
SWMMS0017827,张凯,张凯,,1,SHX,SWM,"[{'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",4,SWM,游泳,SHX,山西
SWMMS0017831,赵赫廷,赵赫廷,,1,SHX,SWM,"[{'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",3,SWM,游泳,SHX,山西
SWMMS0024713,牛广盛,牛广盛,,1,NMG,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}]",4,SWM,游泳,NMG,内蒙古
SWMMS0024725,杨骐嘉,杨骐嘉,,1,NMG,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,NMG,内蒙古
SWMMS0024726,张艺旭,张艺旭,,1,NMG,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",2,SWM,游泳,NMG,内蒙古
SWMMS0032816,常乃文,常乃文,,1,LIN,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",3,SWM,游泳,LIN,辽宁
SWMMS0032817,陈昊,陈昊,,1,LIN,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",3,SWM,游泳,LIN,辽宁
SWMMS0032820,崔峻铭,崔峻铭,,1,LIN,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}]",3,SWM,游泳,LIN,辽宁
SWMMS0032824,方栾昌浩,方栾昌浩,,1,LIN,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",6,SWM,游泳,LIN,辽宁
SWMMS0032827,高海天,高海天,,1,LIN,SWM,[],0,SWM,游泳,LIN,辽宁
SWMMS0032835,金健宇,金健宇,,1,LIN,SWM,"[{'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}]",3,SWM,游泳,LIN,辽宁
SWMMS0032844,李名浩,李名浩,,1,LIN,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",5,SWM,游泳,LIN,辽宁
SWMMS0032845,李明翀,李明翀,,1,LIN,SWM,"[{'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",2,SWM,游泳,LIN,辽宁
SWMMS0032871,路俊涛,路俊涛,,1,LIN,SWM,[{'EventCode': 'SWMM800MFR------------------------'}],1,SWM,游泳,LIN,辽宁
SWMMS0032872,栾泓霖,栾泓霖,,1,LIN,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",4,SWM,游泳,LIN,辽宁
SWMMS0032877,齐昊荣嘉,齐昊荣嘉,,1,LIN,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",3,SWM,游泳,LIN,辽宁
SWMMS0032893,王鹤霖,王鹤霖,,1,LIN,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",5,SWM,游泳,LIN,辽宁
SWMMS0032895,王今煜,王今煜,,1,LIN,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,LIN,辽宁
SWMMS0032898,王靖元,王靖元,,1,LIN,SWM,"[{'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",4,SWM,游泳,LIN,辽宁
SWMMS0032907,王玺智,王玺智,,1,GR,SWM,"[{'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}]",2,SWM,游泳,GR,个人
SWMMS0032908,王筱喆,王筱喆,,1,LIN,SWM,"[{'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",3,SWM,游泳,LIN,辽宁
SWMMS0032916,徐浩楠,徐浩楠,,1,LIN,SWM,[{'EventCode': 'SWMM800MFR------------------------'}],1,SWM,游泳,LIN,辽宁
SWMMS0049380,李桦均,李桦均,,1,HLJ,SWM,"[{'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",4,SWM,游泳,HLJ,黑龙江
SWMMS0049389,孙熔阳,孙熔阳,,1,HLJ,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,HLJ,黑龙江
SWMMS0049390,王谷开来,王谷开来,,1,HLJ,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",3,SWM,游泳,HLJ,黑龙江
SWMMS0049394,王子昂,王子昂,,1,HLJ,SWM,[{'EventCode': 'SWMM200MBF------------------------'}],1,SWM,游泳,HLJ,黑龙江
SWMMS0051796,蔡天祺,蔡天祺,,1,SHH,SWM,"[{'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",2,SWM,游泳,SHH,上海
SWMMS0051797,曹犄文,曹犄文,,1,SHH,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",4,SWM,游泳,SHH,上海
SWMMS0051799,陈超奇,陈超奇,,1,SHH,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}]",6,SWM,游泳,SHH,上海
SWMMS0051802,陈诺,陈诺,,1,SHH,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}]",3,SWM,游泳,SHH,上海
SWMMS0051805,陈宇翱,陈宇翱,,1,SHH,SWM,"[{'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",3,SWM,游泳,SHH,上海
SWMMS0051808,丁叮,丁叮,,1,SHH,SWM,"[{'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}]",4,SWM,游泳,SHH,上海
SWMMS0051812,龚佳豪,龚佳豪,,1,SHH,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",3,SWM,游泳,SHH,上海
SWMMS0051813,龚喜,龚喜,,1,SHH,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM100MBA------------------------'}]",3,SWM,游泳,SHH,上海
SWMMS0051819,李潇宇,李潇宇,,1,SHH,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}]",3,SWM,游泳,SHH,上海
SWMMS0051822,凌华男,凌华男,,1,SHH,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}]",2,SWM,游泳,SHH,上海
SWMMS0051823,刘博文,刘博文,,1,SHH,SWM,"[{'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",2,SWM,游泳,SHH,上海
SWMMS0051829,罗达,罗达,,1,SHH,SWM,"[{'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",4,SWM,游泳,SHH,上海
SWMMS0051834,强铭扬,强铭扬,,1,SHH,SWM,[{'EventCode': 'SWMM800MFR------------------------'}],1,SWM,游泳,SHH,上海
SWMMS0051835,邱子傲,邱子傲,,1,SHH,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",6,SWM,游泳,SHH,上海
SWMMS0051838,覃海洋,覃海洋,,1,SHH,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",5,SWM,游泳,SHH,上海
SWMMS0051844,王昱涵,王昱涵,,1,SHH,SWM,[{'EventCode': 'SWMM200MBF------------------------'}],1,SWM,游泳,SHH,上海
SWMMS0051845,王舟,王舟,,1,SHH,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",6,SWM,游泳,SHH,上海
SWMMS0051846,王梓炀,王梓炀,,1,SHH,SWM,"[{'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",2,SWM,游泳,SHH,上海
SWMMS0051849,徐其涵,徐其涵,,1,SHH,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MBF------------------------'}]",2,SWM,游泳,SHH,上海
SWMMS0051850,许震洲,许震洲,,1,SHH,SWM,[{'EventCode': 'SWMM100MBA------------------------'}],1,SWM,游泳,SHH,上海
SWMMS0051851,杨辰,杨辰,,1,SHH,SWM,[{'EventCode': 'SWMM50MFR-------------------------'}],1,SWM,游泳,SHH,上海
SWMMS0051856,张中信,张中信,,1,SHH,SWM,"[{'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",2,SWM,游泳,SHH,上海
SWMMS0051861,郑英昊,郑英昊,,1,SHH,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",4,SWM,游泳,SHH,上海
SWMMS0051863,周舒畅,周舒畅,,1,SHH,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",4,SWM,游泳,SHH,上海
SWMMS0051865,周赟,周赟,,1,SHH,SWM,"[{'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",2,SWM,游泳,SHH,上海
SWMMS0051866,朱孙笑,朱孙笑,,1,SHH,SWM,[{'EventCode': 'SWMM50MFR-------------------------'}],1,SWM,游泳,SHH,上海
SWMMS0055034,程天宇,程天宇,,1,JIS,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",6,SWM,游泳,JIS,江苏
SWMMS0055037,董志豪,董志豪,,1,JIS,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",5,SWM,游泳,JIS,江苏
SWMMS0055042,郭嘉豪,郭嘉豪,,1,JIS,SWM,[{'EventCode': 'SWMM800MFR------------------------'}],1,SWM,游泳,JIS,江苏
SWMMS0055043,郝运,郝运,,1,JIS,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}]",4,SWM,游泳,JIS,江苏
SWMMS0055046,孔祥辰,孔祥辰,,1,JIS,SWM,"[{'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",3,SWM,游泳,JIS,江苏
SWMMS0055049,刘奇,刘奇,,1,JIS,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",3,SWM,游泳,JIS,江苏
SWMMS0055052,鲁一凡,鲁一凡,,1,JIS,SWM,[{'EventCode': 'SWMM100MFR------------------------'}],1,SWM,游泳,JIS,江苏
SWMMS0055053,路明宇,路明宇,,1,JIS,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}]",4,SWM,游泳,JIS,江苏
SWMMS0055054,马福晶,马福晶,,1,JIS,SWM,[{'EventCode': 'SWMM200MBF------------------------'}],1,SWM,游泳,JIS,江苏
SWMMS0055056,缪苏童,缪苏童,,1,JIS,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",2,SWM,游泳,JIS,江苏
SWMMS0055060,陶元虎,陶元虎,,1,JIS,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",2,SWM,游泳,JIS,江苏
SWMMS0055061,王景琦,王景琦,,1,JIS,SWM,[{'EventCode': 'SWMM200MBF------------------------'}],1,SWM,游泳,JIS,江苏
SWMMS0055064,王逸轩,王逸轩,,1,JIS,SWM,[{'EventCode': 'SWMM200MBF------------------------'}],1,SWM,游泳,JIS,江苏
SWMMS0055066,王约翔,王约翔,,1,JIS,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}]",4,SWM,游泳,JIS,江苏
SWMMS0055070,徐霄阳,徐霄阳,,1,JIS,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMM200MFR------------------------'}]",6,SWM,游泳,JIS,江苏
SWMMS0055071,许浩楠,许浩楠,,1,JIS,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",6,SWM,游泳,JIS,江苏
